AnimalID,Sex,Season,Year,Kill_ID,Period,Start Date,Start time,End Date,End Time,StartStalk,StartCons,EndCons,StartLib,EndLib,StillnessPrior,MaternalStatus,# ind,Scavenger1,Scavenger2,Scavenger3,Pick up young?,Comments,Prey Species,Prey Age Class,Prey Age,Prey Sex,"If Male, antler condition",MarrowColor,MarrowConsistency
202,F,Late Winter,2017,850.0,Forage,2017-03-14,07:49:00,2017-03-14,23:53:00,,,,,,,Yearlings,5,Coyote,Fox,,,,Black-tailed Deer,Unknown,0,Unknown,Unknown,Red,Gelatinous
202,F,Late Winter,2017,850.0,Kill,2017-03-14,23:54:00,2017-03-14,23:57:00,,,,,,0.0,Yearlings,5,Coyote,Fox,,,,Black-tailed Deer,Unknown,0,Unknown,Unknown,Red,Gelatinous
202,F,Late Winter,2017,850.0,Handling,2017-03-14,23:58:00,2017-03-16,14:45:00,,,,,,,Yearlings,5,Coyote,Fox,,,,Black-tailed Deer,Unknown,0,Unknown,Unknown,Red,Gelatinous
202,F,Summer,2016,325.0,Forage,2016-06-25,05:18:00,2016-06-25,05:18:00,,,,,,,Young Kittens,5,None,,,,,Black-tailed Deer,Neonate,0,Unknown,00:00:00,0,not available
202,F,Summer,2016,325.0,Kill,2016-06-25,05:19:00,2016-06-25,05:19:00,,,,,,,Young Kittens,5,None,,,,,Black-tailed Deer,Neonate,0,Unknown,00:00:00,0,not available
202,F,Summer,2016,325.0,Handling,2016-06-25,05:20:00,2016-06-27,17:27:00,,,,,,,Young Kittens,5,None,,,,,Black-tailed Deer,Neonate,0,Unknown,00:00:00,0,not available
202,F,Summer,2016,331.0,Forage,2016-07-12,11:57:00,2016-07-15,11:07:00,,,,,,,Young Kittens,5,None,,,,,Black-tailed Deer,Neonate,0,Unknown,00:00:00,0,not available
202,F,Summer,2016,331.0,Kill,2016-07-15,11:08:00,2016-07-15,11:08:00,,,,,,0.0,Young Kittens,5,None,,,,,Black-tailed Deer,Neonate,0,Unknown,00:00:00,0,not available
202,F,Summer,2016,331.0,Handling,2016-07-15,11:09:00,2016-07-17,12:18:00,,,,,,,Young Kittens,5,None,,,,,Black-tailed Deer,Neonate,0,Unknown,00:00:00,0,not available
202,F,Early Winter,2016,337.0,Forage,2016-11-16,01:40:00,2016-11-17,20:14:00,,,,,,,Kittens,5,Coyote,,,,,Black-tailed Deer,Neonate,0,Unknown,00:00:00,0,Not Available
